,dsc,prec,rec,th_jacc
0,0.9075013491635187,0.9245656476797889,0.8910555320050869,0.8306658763090299
1,0.8115847705824927,0.981117230527144,0.6920088790233074,0.6829134720700986
2,0.5700980877836124,0.3986973392461197,1.0,0.0
3,0.8830943068231204,0.9539906103286385,0.8220064724919094,0.7906614785992218
0,0.8349110185535782,0.9981892258940697,0.7175398633257403,0.7166070848228794
1,0.8488001342507132,0.9619627234689996,0.7594594594594595,0.7373177842565598
2,0.38552631578947366,0.9726141078838174,0.2404102564102564,0.0
3,0.9459698848538529,0.985239852398524,0.909710391822828,0.8974789915966387
4,0.8058169375534645,0.6880934989043097,0.9721362229102167,0.6747851002865329
5,0.24901971316538649,0.8287450840185914,0.14652338811630847,0.0
0,0.8666044776119403,0.964193046185781,0.7869546802202456,0.7646090534979424
1,0.8650284247203375,0.7967905405405405,0.9460489370236662,0.7621586686055906
2,0.8394608966718621,0.9832474226804123,0.7323628219484882,0.7233370200663612
3,0.7715654952076677,0.9621513944223108,0.644,0.0
4,0.8384839650145772,0.9986111111111111,0.7226130653266332,0.7218875502008032
5,0.8315018315018315,0.9869565217391304,0.7183544303797469,0.7115987460815048
0,0.8927464352138872,0.9849521203830369,0.8163265306122449,0.8062709966405375
1,0.92412736013377,0.9254814401339659,0.922777236677334,0.858956093770237
2,0.9127086007702182,0.9930167597765364,0.8444180522565321,0.8394332939787486
3,0.872160934458144,0.935933147632312,0.8165249088699879,0.7733026467203682
4,0.8540132200188857,0.8069236259814418,0.9069394304051344,0.7452208305866842
5,0.9791228354102606,0.9839318240957585,0.9743606261676222,0.9590995561192137
6,0.9637617111543221,0.9676961306354278,0.9598591549295775,0.930058000682361
0,0.8365789473684211,0.990496962143636,0.7240633185286414,0.7190680841438588
1,0.8999566912083153,0.9243772241992882,0.8767932489451477,0.8181102362204724
2,0.7036456926816095,0.949009324009324,0.5590936400308987,0.0
