,dsc,prec,rec,th_jacc
0,0.9143147208121828,0.9903232900813723,0.8491419950971149,0.8421544791471853
1,0.8954035468693449,0.973249409913454,0.829088471849866,0.8106159895150721
2,0.685784811964571,0.6545177383592018,0.7201890820372064,0.0
3,0.8252730109204368,0.9934272300469483,0.7058038692461641,0.702523240371846
0,0.9241437276738811,0.9954730647351743,0.8623529411764705,0.858984375
1,0.9068868587491216,0.9817421072651198,0.8426379366634019,0.8296367727418836
2,0.3220361687876758,0.9975103734439834,0.19201277955271565,0.0
3,0.9590960451977402,0.9787822878228782,0.9401860877270714,0.921406860616587
4,0.8107427612253462,0.7056245434623813,0.9526627218934911,0.6817219477769937
5,0.5123614663256607,0.8594923131927065,0.36496128738424166,0.0
0,0.8256717743726405,0.9647119875454073,0.7216614906832298,0.7031013615733737
1,0.7919080820976137,0.6810810810810811,0.9458128078817734,0.655503170216225
2,0.8535185185185186,0.989905498281787,0.7501627604166666,0.7444677758035858
3,0.8133704735376045,0.9694555112881806,0.7005758157389635,0.6854460093896714
4,0.8806888068880688,0.9944444444444445,0.7902869757174393,0.7868131868131868
5,0.8606635071090047,0.9869565217391304,0.7630252100840336,0.7554076539101497
0,0.8849665246500305,0.9945280437756497,0.7971491228070176,0.7936681222707423
1,0.9399474287254835,0.9730672620708903,0.9090079520271152,0.8866988809766022
2,0.911408540471638,0.9986033519553073,0.8382180539273154,0.8372365339578455
3,0.8806431663574521,0.9916434540389972,0.7919911012235817,0.7867403314917127
4,0.8732665639445301,0.8090649536045682,0.9485355648535565,0.775042735042735
5,0.9789736051639292,0.9964871194379391,0.9620650672026128,0.9588132198297447
6,0.9651552955347157,0.9955626553070642,0.9365503422942061,0.9326571333555038
0,0.7923595227792545,0.9984421249415797,0.6567944250871081,0.6561220311220312
1,0.8931332423829014,0.8736654804270463,0.9134883720930232,0.8069022185702547
2,0.663730544016816,0.9660547785547785,0.5055271784706868,0.0
